filename,N_gt,N_asr,M,S,I,D,wer,recall,precision,f1_score
common_voice_he_41019364,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_39659793,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_38744643,14,13,12,1,0,1,0.143,0.857,0.923,0.889
common_voice_he_38078786,7,6,6,0,0,1,0.143,0.857,1,0.923
common_voice_he_39326852,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_41486375,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_41486357,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_43281947,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_40909690,7,6,6,0,0,1,0.143,0.857,1,0.923
common_voice_he_39327024,14,13,12,1,0,1,0.143,0.857,0.923,0.889
common_voice_he_38085651,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_38094981,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_38094128,7,8,7,0,1,0,0.143,1,0.875,0.933
common_voice_he_38883183,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_38085649,15,14,13,1,0,1,0.133,0.867,0.929,0.897
common_voice_he_38085645,15,15,13,2,0,0,0.133,0.867,0.867,0.867
common_voice_he_40067775,8,7,7,0,0,1,0.125,0.875,1,0.933
common_voice_he_38196124,8,8,7,1,0,0,0.125,0.875,0.875,0.875
common_voice_he_39327084,16,17,15,1,1,0,0.125,0.938,0.882,0.909
common_voice_he_41616616,8,8,7,1,0,0,0.125,0.875,0.875,0.875
common_voice_he_39753227,8,8,7,1,0,0,0.125,0.875,0.875,0.875
common_voice_he_38078774,8,8,7,1,0,0,0.125,0.875,0.875,0.875
common_voice_he_39326856,8,8,7,1,0,0,0.125,0.875,0.875,0.875
common_voice_he_39326855,8,8,7,1,0,0,0.125,0.875,0.875,0.875
common_voice_he_38142080,16,16,14,2,0,0,0.125,0.875,0.875,0.875
common_voice_he_38146696,8,8,7,1,0,0,0.125,0.875,0.875,0.875
common_voice_he_41486356,8,8,7,1,0,0,0.125,0.875,0.875,0.875
common_voice_he_41616655,9,10,9,0,1,0,0.111,1,0.900,0.947
common_voice_he_38142071,9,9,8,1,0,0,0.111,0.889,0.889,0.889
common_voice_he_39326826,9,9,8,1,0,0,0.111,0.889,0.889,0.889
common_voice_he_38623349,9,9,8,1,0,0,0.111,0.889,0.889,0.889
common_voice_he_39771177,9,8,8,0,0,1,0.111,0.889,1,0.941
common_voice_he_38085648,9,9,8,1,0,0,0.111,0.889,0.889,0.889
common_voice_he_39937271,9,9,8,1,0,0,0.111,0.889,0.889,0.889
common_voice_he_41605186,9,9,8,1,0,0,0.111,0.889,0.889,0.889
common_voice_he_39350851,9,8,8,0,0,1,0.111,0.889,1,0.941
