filename,N_gt,N_asr,M,S,I,D,wer,recall,precision,f1_score
common_voice_he_39750937,9,9,8,1,0,0,0.111,0.889,0.889,0.889
common_voice_he_38883685,5,5,0,5,0,0,1,0,0,0
common_voice_he_38883686,9,9,0,9,0,0,1,0,0,0
common_voice_he_38883687,3,3,0,3,0,0,1,0,0,0
common_voice_he_38883688,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_38883689,3,3,3,0,0,0,0,1,1,1
common_voice_he_40972199,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_40972200,6,6,4,2,0,0,0.333,0.667,0.667,0.667
common_voice_he_40972201,14,14,12,2,0,0,0.143,0.857,0.857,0.857
common_voice_he_40972202,5,6,4,1,1,0,0.400,0.800,0.667,0.727
common_voice_he_40972203,9,9,7,2,0,0,0.222,0.778,0.778,0.778
common_voice_he_41617129,9,9,6,3,0,0,0.333,0.667,0.667,0.667
common_voice_he_41617130,10,9,7,2,0,1,0.300,0.700,0.778,0.737
common_voice_he_41617131,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_41617133,6,6,3,3,0,0,0.500,0.500,0.500,0.500
common_voice_he_41617137,8,8,6,2,0,0,0.250,0.750,0.750,0.750
common_voice_he_40137979,6,5,3,2,0,1,0.500,0.500,0.600,0.545
common_voice_he_40137980,7,7,5,2,0,0,0.286,0.714,0.714,0.714
common_voice_he_40137981,9,10,6,3,1,0,0.444,0.667,0.600,0.632
common_voice_he_40137982,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_40137983,13,14,10,3,1,0,0.308,0.769,0.714,0.741
common_voice_he_43313116,7,6,4,2,0,1,0.429,0.571,0.667,0.615
common_voice_he_43313117,7,7,5,2,0,0,0.286,0.714,0.714,0.714
common_voice_he_43313118,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_43313119,6,6,4,2,0,0,0.333,0.667,0.667,0.667
common_voice_he_43313120,8,8,7,1,0,0,0.125,0.875,0.875,0.875
common_voice_he_38568963,6,5,0,5,0,1,1,0,0,0
common_voice_he_38568964,11,9,1,8,0,2,0.909,0.091,0.111,0.100
common_voice_he_38568965,8,7,5,2,0,1,0.375,0.625,0.714,0.667
common_voice_he_38568966,13,13,0,13,0,0,1,0,0,0
common_voice_he_38568967,5,6,0,5,1,0,1.200,0,0,0
common_voice_he_39659793,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_39659794,8,8,0,8,0,0,1,0,0,0
common_voice_he_39659795,10,10,9,1,0,0,0.100,0.900,0.900,0.900
common_voice_he_39659796,7,8,0,7,1,0,1.143,0,0,0
common_voice_he_39659797,9,10,8,1,1,0,0.222,0.889,0.800,0.842
common_voice_he_40612852,6,6,4,2,0,0,0.333,0.667,0.667,0.667
common_voice_he_40612855,13,13,12,1,0,0,0.077,0.923,0.923,0.923
common_voice_he_40612862,13,13,10,3,0,0,0.231,0.769,0.769,0.769
common_voice_he_40612863,7,6,4,2,0,1,0.429,0.571,0.667,0.615
common_voice_he_40612866,9,9,7,2,0,0,0.222,0.778,0.778,0.778
common_voice_he_40612867,6,6,4,2,0,0,0.333,0.667,0.667,0.667
common_voice_he_41019415,8,8,6,2,0,0,0.250,0.750,0.750,0.750
common_voice_he_41019416,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_41019419,5,6,3,2,1,0,0.600,0.600,0.500,0.545
common_voice_he_41019455,8,8,6,2,0,0,0.250,0.750,0.750,0.750
common_voice_he_41019456,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_41019457,14,14,13,1,0,0,0.071,0.929,0.929,0.929
common_voice_he_38623331,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_38623332,7,4,2,2,0,3,0.714,0.286,0.500,0.364
common_voice_he_38623333,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_38623334,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_38623347,7,7,5,2,0,0,0.286,0.714,0.714,0.714
common_voice_he_38623348,7,9,3,4,2,0,0.857,0.429,0.333,0.375
common_voice_he_38623349,7,7,3,4,0,0,0.571,0.429,0.429,0.429
common_voice_he_43503033,7,8,5,2,1,0,0.429,0.714,0.625,0.667
common_voice_he_43503040,8,8,7,1,0,0,0.125,0.875,0.875,0.875
common_voice_he_43503045,14,14,13,1,0,0,0.071,0.929,0.929,0.929
common_voice_he_43503050,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_43503051,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_43503055,14,14,13,1,0,0,0.071,0.929,0.929,0.929
common_voice_he_43503067,8,8,7,1,0,0,0.125,0.875,0.875,0.875
common_voice_he_43512945,8,8,6,2,0,0,0.250,0.750,0.750,0.750
common_voice_he_43512961,10,10,8,2,0,0,0.200,0.800,0.800,0.800
common_voice_he_40977316,14,14,10,4,0,0,0.286,0.714,0.714,0.714
common_voice_he_40978528,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_40978535,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_40978542,5,5,2,2,1,1,0.800,0.400,0.400,0.400
common_voice_he_40978546,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_40978553,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_40978560,6,7,3,3,1,0,0.667,0.500,0.429,0.462
common_voice_he_40978567,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_40978573,8,8,7,1,0,0,0.125,0.875,0.875,0.875
common_voice_he_40978575,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_40978592,8,8,7,1,0,0,0.125,0.875,0.875,0.875
common_voice_he_40978609,6,7,4,2,1,0,0.500,0.667,0.571,0.615
common_voice_he_38195450,4,4,0,4,0,0,1,0,0,0
common_voice_he_38195452,10,10,0,10,0,0,1,0,0,0
common_voice_he_38195454,10,11,0,10,1,0,1.100,0,0,0
common_voice_he_38196114,4,4,0,4,0,0,1,0,0,0
common_voice_he_38196115,3,3,0,3,0,0,1,0,0,0
common_voice_he_38196117,4,4,2,2,0,0,0.500,0.500,0.500,0.500
common_voice_he_38196118,9,8,2,6,0,1,0.778,0.222,0.250,0.235
common_voice_he_38196119,6,6,0,6,0,0,1,0,0,0
common_voice_he_38196120,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_38196121,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_38196122,6,5,3,2,0,1,0.500,0.500,0.600,0.545
common_voice_he_38196123,4,3,0,3,0,1,1,0,0,0
common_voice_he_38196124,7,3,0,3,0,4,1,0,0,0
common_voice_he_38196125,8,8,7,1,0,0,0.125,0.875,0.875,0.875
common_voice_he_38196126,6,6,0,6,0,0,1,0,0,0
common_voice_he_40909678,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_40909679,9,9,8,1,0,0,0.111,0.889,0.889,0.889
common_voice_he_40909680,11,11,10,1,0,0,0.091,0.909,0.909,0.909
common_voice_he_40909681,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_40909682,8,8,5,3,0,0,0.375,0.625,0.625,0.625
common_voice_he_40909688,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_40909689,9,9,6,3,0,0,0.333,0.667,0.667,0.667
common_voice_he_40909690,6,5,4,1,0,1,0.333,0.667,0.800,0.727
common_voice_he_40909691,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_40909692,10,8,6,2,0,2,0.400,0.600,0.750,0.667
common_voice_he_40909693,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_40909694,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_40909695,6,6,3,3,0,0,0.500,0.500,0.500,0.500
common_voice_he_40909696,8,8,7,1,0,0,0.125,0.875,0.875,0.875
common_voice_he_40909697,8,9,7,1,1,0,0.250,0.875,0.778,0.824
common_voice_he_40909699,6,6,4,2,0,0,0.333,0.667,0.667,0.667
common_voice_he_40909700,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_40909701,7,5,3,2,0,2,0.571,0.429,0.600,0.500
common_voice_he_40909702,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_41616575,9,9,8,1,0,0,0.111,0.889,0.889,0.889
common_voice_he_41616579,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_41616580,8,8,7,1,0,0,0.125,0.875,0.875,0.875
common_voice_he_41616584,10,10,8,2,0,0,0.200,0.800,0.800,0.800
common_voice_he_41616601,9,8,4,4,0,1,0.556,0.444,0.500,0.471
common_voice_he_41616602,8,8,7,1,0,0,0.125,0.875,0.875,0.875
common_voice_he_41616604,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_41616612,8,8,7,1,0,0,0.125,0.875,0.875,0.875
common_voice_he_41616613,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_41616614,8,8,7,1,0,0,0.125,0.875,0.875,0.875
common_voice_he_41616616,6,6,3,3,0,0,0.500,0.500,0.500,0.500
common_voice_he_41616617,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_41616619,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_41616625,9,9,6,3,0,0,0.333,0.667,0.667,0.667
common_voice_he_41616629,10,10,9,1,0,0,0.100,0.900,0.900,0.900
common_voice_he_41616635,12,12,11,1,0,0,0.083,0.917,0.917,0.917
common_voice_he_41616636,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_41616637,7,6,0,6,0,1,1,0,0,0
common_voice_he_41616638,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_41616640,8,8,6,2,0,0,0.250,0.750,0.750,0.750
common_voice_he_41616642,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_41616643,11,10,8,2,0,1,0.273,0.727,0.800,0.762
common_voice_he_41616644,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_41616655,5,6,2,3,1,0,0.800,0.400,0.333,0.364
common_voice_he_41616656,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_41616667,9,9,8,1,0,0,0.111,0.889,0.889,0.889
common_voice_he_41616687,6,6,4,2,0,0,0.333,0.667,0.667,0.667
common_voice_he_41616688,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_41616697,13,12,6,6,0,1,0.538,0.462,0.500,0.480
common_voice_he_41616704,8,8,6,2,0,0,0.250,0.750,0.750,0.750
common_voice_he_41616707,6,6,4,2,0,0,0.333,0.667,0.667,0.667
common_voice_he_41616718,8,8,7,1,0,0,0.125,0.875,0.875,0.875
common_voice_he_41616728,13,13,12,1,0,0,0.077,0.923,0.923,0.923
common_voice_he_41616729,7,7,5,2,0,0,0.286,0.714,0.714,0.714
common_voice_he_41616730,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_41616731,10,9,5,4,0,1,0.500,0.500,0.556,0.526
common_voice_he_41616740,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_41616743,5,5,0,5,0,0,1,0,0,0
common_voice_he_41616745,7,6,4,2,0,1,0.429,0.571,0.667,0.615
common_voice_he_41616748,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_41616756,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_41616757,8,8,7,1,0,0,0.125,0.875,0.875,0.875
common_voice_he_41616758,7,7,5,2,0,0,0.286,0.714,0.714,0.714
common_voice_he_41616760,8,9,6,2,1,0,0.375,0.750,0.667,0.706
common_voice_he_41616761,6,6,6,0,0,0,0,1,1,1
common_voice_he_41616762,6,6,4,2,0,0,0.333,0.667,0.667,0.667
common_voice_he_41616770,9,8,5,3,0,1,0.444,0.556,0.625,0.588
common_voice_he_41616772,7,7,7,0,0,0,0,1,1,1
common_voice_he_41616788,5,6,2,3,1,0,0.800,0.400,0.333,0.364
common_voice_he_41616790,8,8,7,1,0,0,0.125,0.875,0.875,0.875
common_voice_he_41616792,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_41616807,7,7,5,2,0,0,0.286,0.714,0.714,0.714
common_voice_he_41616808,4,4,0,4,0,0,1,0,0,0
common_voice_he_41616809,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_41616811,6,6,4,2,0,0,0.333,0.667,0.667,0.667
common_voice_he_41486343,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_41486344,6,6,4,2,0,0,0.333,0.667,0.667,0.667
common_voice_he_41486345,9,9,8,1,0,0,0.111,0.889,0.889,0.889
common_voice_he_41486346,8,8,6,2,0,0,0.250,0.750,0.750,0.750
common_voice_he_41486347,6,6,0,6,0,0,1,0,0,0
common_voice_he_41486353,6,6,4,2,0,0,0.333,0.667,0.667,0.667
common_voice_he_41486354,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_41486355,8,8,6,2,0,0,0.250,0.750,0.750,0.750
common_voice_he_41486356,6,6,4,2,0,0,0.333,0.667,0.667,0.667
common_voice_he_41486357,6,6,4,2,0,0,0.333,0.667,0.667,0.667
common_voice_he_41486358,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_41486359,5,5,5,0,0,0,0,1,1,1
common_voice_he_41486360,8,8,7,1,0,0,0.125,0.875,0.875,0.875
common_voice_he_41486361,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_41486362,7,7,0,7,0,0,1,0,0,0
common_voice_he_41486368,4,4,4,0,0,0,0,1,1,1
common_voice_he_41486369,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_41486370,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_41486371,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_41486372,13,13,12,1,0,0,0.077,0.923,0.923,0.923
common_voice_he_41486373,11,11,9,2,0,0,0.182,0.818,0.818,0.818
common_voice_he_41486374,6,4,3,1,0,2,0.500,0.500,0.750,0.600
common_voice_he_41486375,6,6,3,3,0,0,0.500,0.500,0.500,0.500
common_voice_he_41486376,6,7,0,6,1,0,1.167,0,0,0
common_voice_he_41486377,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_41486383,8,8,7,1,0,0,0.125,0.875,0.875,0.875
common_voice_he_41486384,7,7,5,2,0,0,0.286,0.714,0.714,0.714
common_voice_he_41486385,11,11,10,1,0,0,0.091,0.909,0.909,0.909
common_voice_he_41486386,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_41486387,12,12,11,1,0,0,0.083,0.917,0.917,0.917
common_voice_he_41605155,10,10,9,1,0,0,0.100,0.900,0.900,0.900
common_voice_he_41605156,7,7,7,0,0,0,0,1,1,1
common_voice_he_41605157,6,6,0,6,0,0,1,0,0,0
common_voice_he_41605158,10,10,10,0,0,0,0,1,1,1
common_voice_he_41605159,6,6,6,0,0,0,0,1,1,1
common_voice_he_41605160,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_41605161,6,6,0,6,0,0,1,0,0,0
common_voice_he_41605162,7,8,5,2,1,0,0.429,0.714,0.625,0.667
common_voice_he_41605163,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_41605164,9,9,8,1,0,0,0.111,0.889,0.889,0.889
common_voice_he_41605165,6,6,3,3,0,0,0.500,0.500,0.500,0.500
common_voice_he_41605168,10,10,9,1,0,0,0.100,0.900,0.900,0.900
common_voice_he_41605169,11,11,10,1,0,0,0.091,0.909,0.909,0.909
common_voice_he_41605170,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_41605171,9,9,8,1,0,0,0.111,0.889,0.889,0.889
common_voice_he_41605172,10,10,7,3,0,0,0.300,0.700,0.700,0.700
common_voice_he_41605173,10,9,6,3,0,1,0.400,0.600,0.667,0.632
common_voice_he_41605176,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_41605177,7,7,5,2,0,0,0.286,0.714,0.714,0.714
common_voice_he_41605178,4,4,0,4,0,0,1,0,0,0
common_voice_he_41605179,10,10,9,1,0,0,0.100,0.900,0.900,0.900
common_voice_he_41605180,13,13,12,1,0,0,0.077,0.923,0.923,0.923
common_voice_he_41605181,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_41605183,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_41605184,8,8,7,1,0,0,0.125,0.875,0.875,0.875
common_voice_he_41605185,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_41605186,6,6,4,2,0,0,0.333,0.667,0.667,0.667
common_voice_he_41605188,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_41605190,9,10,7,2,1,0,0.333,0.778,0.700,0.737
common_voice_he_41605191,8,8,7,1,0,0,0.125,0.875,0.875,0.875
common_voice_he_41605192,8,8,7,1,0,0,0.125,0.875,0.875,0.875
common_voice_he_41605193,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_41605194,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_41605195,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_41605196,6,6,4,2,0,0,0.333,0.667,0.667,0.667
common_voice_he_41605197,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_41605199,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_41605200,12,14,8,4,2,0,0.500,0.667,0.571,0.615
common_voice_he_41605201,6,6,4,2,0,0,0.333,0.667,0.667,0.667
common_voice_he_41605202,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_41605203,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_41605204,6,6,3,3,0,0,0.500,0.500,0.500,0.500
common_voice_he_41605205,7,7,6,1,0,0,0.143,0.857,0.857,0.857
common_voice_he_41605206,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_41605208,10,10,9,1,0,0,0.100,0.900,0.900,0.900
common_voice_he_41605209,7,7,5,2,0,0,0.286,0.714,0.714,0.714
common_voice_he_41605211,7,7,5,2,0,0,0.286,0.714,0.714,0.714
common_voice_he_41605212,6,6,5,1,0,0,0.167,0.833,0.833,0.833
common_voice_he_41605213,6,6,4,2,0,0,0.333,0.667,0.667,0.667
common_voice_he_41605214,7,8,0,7,1,0,1.143,0,0,0
common_voice_he_39326813,5,5,0,5,0,0,1,0,0,0
common_voice_he_39326815,12,12,11,1,0,0,0.083,0.917,0.917,0.917
common_voice_he_39326816,4,4,0,4,0,0,1,0,0,0
common_voice_he_39326817,11,11,0,11,0,0,1,0,0,0
common_voice_he_39326818,5,5,4,1,0,0,0.200,0.800,0.800,0.800
common_voice_he_39326825,5,5,5,0,0,0,0,1,1,1
common_voice_he_39326826,9,8,0,8,0,1,1,0,0,0
common_voice_he_39326827,12,12,0,12,0,0,1,0,0,0
common_voice_he_39326828,9,9,7,2,0,0,0.222,0.778,0.778,0.778
common_voice_he_39326830,6,6,4,2,0,0,0.333,0.667,0.667,0.667
common_voice_he_39326852,5,5,0,5,0,0,1,0,0,0
common_voice_he_39326853,9,9,8,1,0,0,0.111,0.889,0.889,0.889
common_voice_he_39326854,4,4,4,0,0,0,0,1,1,1
common_voice_he_39326855,6,6,0,6,0,0,1,0,0,0
common_voice_he_39326856,6,6,0,6,0,0,1,0,0,0
